Centis,Quantidade de Declarantes,Soma de RB4 do Centil,Rendimento Tributável,Base de Cálculo,Aluguel,Previdência Oficial,Previdência RRA,Previdência Privada,Dependentes,Instrução,Despesas Médicas,Pensão Alimentícia,Livro-Caixa,Imóveis,Móveis,Financeiros,Outros Bens e Direitos,13º salário,Rendimentos de Aplicações Financeiras,Ganhos de Capital na Alienação de Bens/Direitos,Participação nos Lucros ou Resultados,Rendimentos Recebidos Acumuladamente,Ganhos Líquidos em Renda Variável,Juros sobre Capital Próprio,Outros,Rendimentos Sujeitos à Tributação Exclusiva,Imposto Devido,Lucros e Dividendos,Rendim. Sócio/Titular ME/EPP Opt SIMPLES,Transf. Patrimoniais doações e heranças,Parcela isenta de aposentadoria etc,Parcela isenta da Atividade Rural,"Pensão, proventos de aposentadoria etc",Indenização por Rescisão do Contrato de Trabalho etc,Rendimentos de Caderneta de  Poupança etc,Incorporação de Reservas de Capital/Bonificações em Ações,Outros Rendimentos Isentos,Dívida
73,384.167,37814950000,28229320000,21456040000,360040000,1202330000,1410000,68230000,425550000,353100000,1491050000,206760000,78280000,40527330000,8851840000,24136570000,4174440000,1687970000,432570000,34190000,456490000,161280000,5660000,13960000,104430000,2896550000,2286380000,725240000,1230700000,868370000,1492550000,337740000,577070000,300740000,459980000,1200000,1563830000,8437970000
74,384.168,38995680000,28837970000,21987910000,367730000,1234980000,1550000,75490000,435690000,368120000,1520050000,215760000,81540000,44802470000,9010790000,25329630000,4380160000,1716310000,447540000,34160000,473690000,167990000,5070000,14070000,117310000,2976140000,2450830000,920960000,1411010000,869230000,1424070000,382290000,554340000,311300000,466880000,1830000,1708890000,8217260000
75,384.168,40265880000,29719310000,22716650000,377750000,1324580000,1400000,82390000,446820000,377480000,1597220000,216860000,87640000,43668650000,9316450000,30427560000,4675550000,1769200000,488700000,38620000,493200000,185400000,5790000,16610000,118610000,3116130000,2629060000,874690000,1438050000,871540000,1505910000,412270000,618950000,330210000,497040000,1720000,1751610000,9247300000
76,384.167,41631910000,30492630000,23388290000,401390000,1360530000,1310000,88740000,453640000,388380000,1670610000,214880000,92390000,48212100000,9563480000,80721030000,5341090000,1800220000,516480000,42780000,511600000,204670000,6870000,16570000,126330000,3225520000,2816570000,998570000,1663930000,860570000,1485890000,445160000,661070000,338450000,526800000,1790000,1792080000,9453210000
77,384.168,43103590000,31605450000,24331960000,410440000,1488890000,1190000,99140000,464860000,397900000,1746970000,224960000,100630000,47692160000,11965910000,28936500000,7152700000,1872090000,548450000,49780000,542840000,228640000,7750000,18100000,132580000,3400230000,3062770000,968840000,1554800000,1060080000,1518390000,498720000,716840000,355310000,550070000,2110000,1932840000,10007270000
78,384.168,44684310000,32375940000,25022190000,408520000,1577730000,1340000,108590000,470860000,406200000,1820980000,232010000,108390000,49430840000,10244070000,41881280000,5309360000,1908600000,584640000,52400000,553390000,219120000,6870000,18790000,136060000,3479870000,3275330000,1169420000,1859690000,990820000,1534540000,546770000,790160000,361300000,578220000,2110000,1986280000,9567150000
79,384.167,46386900000,33495730000,25961400000,423130000,1641430000,1550000,118390000,484480000,419930000,1918650000,262720000,134890000,50979550000,10895910000,31467780000,5531410000,1950610000,614680000,60250000,568510000,235290000,9060000,21540000,143860000,3603800000,3543950000,1332800000,1980310000,1026420000,1493250000,618030000,820190000,372310000,585990000,2920000,2081580000,9860000000
80,384.168,48221150000,34792640000,27053980000,435400000,1801880000,1870000,137250000,503620000,441420000,2020480000,269710000,132000000,53864780000,10986920000,33402280000,6091810000,2034290000,689380000,64820000,613670000,262840000,8970000,22640000,155850000,3852460000,3818480000,1312830000,1972980000,1079430000,1512860000,671830000,868810000,393980000,627610000,2350000,2212790000,9969720000
81,384.168,50207660000,36067860000,28156770000,444780000,1945330000,1710000,151030000,515000000,448770000,2116950000,292100000,132180000,56077970000,11252070000,33448950000,6278900000,2098970000,710640000,69560000,632290000,271730000,10180000,25250000,168860000,3987480000,4120800000,1419100000,2115180000,1105830000,1547160000,740930000,962650000,401030000,649520000,2840000,2313910000,12272130000
82,384.167,52336290000,37223620000,29153750000,455920000,2148100000,2140000,171480000,524430000,457240000,2218360000,325590000,142580000,61882030000,88352210000,35963900000,6807390000,2168380000,758450000,83880000,668660000,281230000,11140000,27000000,180560000,4179300000,4413320000,1549350000,2344500000,1143230000,1528150000,865990000,1083800000,428840000,681230000,3600000,2447910000,12263480000
83,384.168,54678280000,38504690000,30240060000,476650000,2213420000,2240000,193010000,530200000,462570000,2295430000,349310000,164750000,62768270000,12194000000,39643780000,6883890000,2219360000,822110000,85860000,710380000,316550000,11100000,28810000,191500000,4385670000,4715910000,1662090000,2421580000,1245410000,1499720000,1277300000,1103950000,451320000,722680000,2950000,2646320000,11612060000
84,384.167,57150870000,40125490000,31650620000,464020000,2509370000,2100000,214750000,548020000,470950000,2384880000,355940000,169610000,62729520000,12369990000,39113150000,7116730000,2324950000,865750000,93190000,744700000,346150000,11250000,31670000,196080000,4613740000,5120320000,1965590000,2711350000,1191660000,1494310000,887950000,1238200000,457290000,729140000,3510000,2924310000,12866350000
85,384.168,59908700000,41739030000,33029640000,501420000,2553340000,2850000,257080000,546180000,473160000,2557010000,359930000,193570000,68050390000,13270750000,57322760000,8138220000,2407640000,969960000,121380000,835830000,394290000,14200000,35460000,232050000,5010810000,5486130000,1948470000,2767710000,1390480000,1554200000,985370000,1461060000,508270000,818560000,4470000,3110760000,12754830000
86,384.168,63013310000,43552420000,34632820000,525340000,2718230000,2350000,288710000,556650000,477500000,2646940000,377640000,201150000,75526340000,13818500000,45777590000,8152320000,2498560000,1034220000,126640000,890440000,389590000,15050000,38520000,243130000,5236150000,5938120000,2316480000,3271800000,1420870000,1515730000,991640000,1466580000,530780000,860980000,4870000,3265890000,14780760000
